Producto|Brand|Categories
Centro jamón cebo ibérico 50% raza ibérica Navidul sin lactosa 150 g aprox|Navidul|Charcutería, Jamón y Paleta
Centro jamón curado Navidul al corte 250 g aprox|Navidul|Charcutería, Jamón y Paleta
DIA jamón serrano sobre 240 gr|DIA|Charcutería, Jamón y Paleta
DIA taco de jamón curado sobre 300 gr|DIA|Charcutería, Jamón y Paleta
Jamón cebo ibérico 50% raza ibérica 7,90 Kg aprox|(Sin marca)|Charcutería, Jamón y Paleta
Jamón cebo ibérico 50% raza ibérica Leyenda Ibérica pieza 7,5 Kg aprox|Leyenda Ibérica|Charcutería, Jamón y Paleta
Jamón cebo ibérico 50% raza ibérica Leyenda Ibérica pieza de 7,5 kg aprox|Leyenda Ibérica|Charcutería, Jamón y Paleta
Jamón curado 25% menos de sal Navidul sin gluten 50 g.|Navidul|Charcutería, Jamón y Paleta
Jamón curado en tiras Carrefour 150 g.|Carrefour|Charcutería, Jamón y Paleta
Jamón curado lonchas Navidul sin gluten pack de 2 unidades de 138 g.|Navidul|Charcutería, Jamón y Paleta
Jamón curado Selección Reserva El Pozo pieza de 7,5 kg aprox|El Pozo|Charcutería, Jamón y Paleta
Jamón de bellota ibérico 50% raza ibérica Juan del Roble|Juan del Roble|Charcutería, Jamón y Paleta
Jamón de cebo ibérico 50% raza ibérica en lonchas Navidul sin gluten y sin lactosa 80 g|Navidul|Charcutería, Jamón y Paleta
Jamón de cebo ibérico 50% raza ibérica Legado Ibérico Serie Oro ElPozo 7Kg aprox|Legado Ibérico|Charcutería, Jamón y Paleta
Jamón de cebo ibérico 50% raza ibérica pieza de 7 kg aprox|(Sin marca)|Charcutería, Jamón y Paleta
Jamón de cebo Ibérico en lonchas Carrefour 100 g.|Carrefour|Charcutería, Jamón y Paleta
Jamón de cebo ibérico loncheado 50% raza ibérica Canpipork 100 g|Canpipork|Charcutería, Jamón y Paleta
Jamón extra en lonchas westfalia El pozo Legado sin gluten sin lactosa 140 g.|El pozo|Charcutería, Jamón y Paleta
Jamón Ibérico en lonchas Azuaga 100 g.|Azuaga|Charcutería, Jamón y Paleta
Jamón reserva deshuesado ElPozo al corte 250 g aprox|ElPozo|Charcutería, Jamón y Paleta
Jamón serrano cortado a máquina|(Sin marca)|Charcutería, Jamón y Paleta
Jamón serrano curado pieza de 7 kg aprox|(Sin marca)|Charcutería, Jamón y Paleta
Jamón serrano en taquitos Abrilisto 100 g|Abrilisto|Charcutería, Jamón y Paleta
Jamón serrano Reserva Carrefour pieza 7 Kg aprox|Carrefour|Charcutería, Jamón y Paleta
